2025 Federal Election House of Representatives Members Elected [Please Note: These results are not final. Event:31496 Phase:PostElection Generated:2025-05-27T10:46:59 Cycle:2313987c-1293-44cf-a49c-641362cacb96 Created:2025-05-27T10:45:42 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.11.386.0]
DivisionID,DivisionNm,StateAb,CandidateID,GivenNm,Surname,PartyNm,PartyAb
197,Aston,VIC,40809,Mary,DOYLE,Australian Labor Party,ALP
103,Banks,NSW,41350,Zhi,SOON,Australian Labor Party,ALP
192,Bass,TAS,41546,Jess,TEESDALE,Australian Labor Party,ALP
105,Bennelong,NSW,41329,Jerome,LAXALE,Australian Labor Party,ALP
310,Bonner,QLD,40727,Kara,COOK,Australian Labor Party,ALP
182,Boothby,SA,41197,Louise,MILLER-FROST,Australian Labor Party,ALP
155,Bowman,QLD,41212,Henry,PIKE,Liberal National Party of Queensland,LNP
193,Braddon,TAS,41513,Anne,URQUHART,Australian Labor Party,ALP
236,Canning,WA,41236,Andrew,HASTIE,Liberal,LP
205,Chisholm,VIC,40845,Carina,GARLAND,Australian Labor Party,ALP
319,Clark,TAS,33553,Andrew,WILKIE,Independent,IND
112,Cook,NSW,41452,Simon,KENNEDY,Liberal,LP
238,Curtin,WA,36589,Kate,CHANEY,Independent,IND
209,Deakin,VIC,40861,Matt,GREGG,Australian Labor Party,ALP
119,Fowler,NSW,36240,Dai,LE,Independent,IND
213,Gippsland,VIC,41138,Darren,CHESTER,The Nationals,NP
309,Gorton,VIC,40823,Alice,JORDAN-BAIRD,Australian Labor Party,ALP
121,Grayndler,NSW,41373,Anthony,ALBANESE,Australian Labor Party,ALP
166,Hinkler,QLD,41182,David,BATT,Liberal National Party of Queensland,LNP
217,Hotham,VIC,40848,Clare,O'NEIL,Australian Labor Party,ALP
124,Hughes,NSW,41400,David,MONCRIEFF,Australian Labor Party,ALP
186,Kingston,SA,41201,Amanda,RISHWORTH,Australian Labor Party,ALP
223,La Trobe,VIC,40772,Jason,WOOD,Liberal,LP
306,Lingiari,NT,41011,Marion,SCRYMGOUR,Australian Labor Party,ALP
302,Longman,QLD,41194,Terry,YOUNG,Liberal National Party of Queensland,LNP
132,Mackellar,NSW,37450,Sophie,SCAMPS,Independent,IND
133,Macquarie,NSW,41425,Susan,TEMPLEMAN,Australian Labor Party,ALP
170,Maranoa,QLD,41162,David,LITTLEPROUD,Liberal National Party of Queensland,LNP
225,Maribyrnong,VIC,40821,Jo,BRISKEY,Australian Labor Party,ALP
226,McEwen,VIC,40812,Rob,MITCHELL,Australian Labor Party,ALP
134,Mitchell,NSW,41487,Alex,HAWKE,Liberal,LP
174,Oxley,QLD,40800,Milton,DICK,Australian Labor Party,ALP
140,Parramatta,NSW,41424,Andrew,CHARLTON,Australian Labor Party,ALP
175,Petrie,QLD,40801,Emma,COMER,Australian Labor Party,ALP
144,Reid,NSW,41434,Sally,SITOU,Australian Labor Party,ALP
146,Robertson,NSW,41417,Gordon,REID,Australian Labor Party,ALP
190,Sturt,SA,41209,Claire,CLUTTERHAM,Australian Labor Party,ALP
149,Sydney,NSW,41342,Tanya,PLIBERSEK,Australian Labor Party,ALP
248,Tangney,WA,41470,Sam,LIM,Australian Labor Party,ALP
233,Wannon,VIC,40770,Dan,TEHAN,Liberal,LP
152,Wentworth,NSW,37451,Allegra,SPENDER,Independent,IND
153,Werriwa,NSW,41328,Anne Maree,STANLEY,Australian Labor Party,ALP
234,Wills,VIC,40810,Peter,KHALIL,Australian Labor Party,ALP
