2025 Federal Election House of Representatives Two Candidate Preferred By Candidate By Vote Type [Please Note: These results are not final. Event:31496 Phase:PostElection Generated:2025-05-27T12:41:19 Cycle:841232e3-b741-4f51-86df-f51ca364568b Created:2025-05-27T12:40:02 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,318,Bean,41682,PRICE,Jessie,2,N,N,IND,Independent,44930,775,132,1559,3604,51000,49.66
ACT,318,Bean,40676,SMITH,David,4,N,Y,ALP,Australian Labor Party,44844,955,155,2081,3665,51700,50.34
ACT,101,Canberra,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,23979,526,107,1805,2052,28469,-7.32
ACT,101,Canberra,40677,PAYNE,Alicia,5,N,Y,ALP,Australian Labor Party,54276,922,235,3977,5526,64936,7.32
ACT,102,Fenner,41079,OLATUNBOSUN,Bola,1,N,N,LP,Liberal,22643,537,88,918,2186,26372,-6.39
ACT,102,Fenner,40678,LEIGH,Andrew,3,N,Y,ALP,Australian Labor Party,59991,1326,251,2076,4444,68088,6.39
NSW,103,Banks,41350,SOON,Zhi,6,Y,N,ALP,Labor,42932,1899,63,1369,5567,51830,5.03
NSW,103,Banks,41411,COLEMAN,David,7,N,Y,LP,Liberal,38744,1248,45,1041,6027,47105,-5.03
NSW,104,Barton,41339,AMBIHAIPAHAR,Ash,3,N,N,ALP,Labor,55115,2637,78,1881,6260,65971,4.01
NSW,104,Barton,41448,DOUSKOU,Fiona,4,N,N,LP,Liberal,27793,1343,21,926,3897,33980,-4.01
NSW,105,Bennelong,41444,YUNG,Scott,1,N,N,LP,Liberal,35267,1253,40,1292,6884,44736,-9.3
NSW,105,Bennelong,41329,LAXALE,Jerome,4,Y,Y,ALP,Labor,52658,1971,84,2019,8344,65076,9.3
NSW,106,Berowra,41338,KOSCHINSKI,Benson,3,N,N,ALP,Labor,46216,1630,52,1830,6167,55895,5.93
NSW,106,Berowra,41442,LEESER,Julian,8,N,Y,LP,Liberal,47778,1525,40,1448,8882,59673,-5.93
NSW,107,Blaxland,41478,NGUYEN,Courtney,1,N,N,LP,Liberal,17857,1159,40,836,4520,24412,-8.86
NSW,107,Blaxland,41316,CLARE,Jason,2,N,Y,ALP,Labor,50799,2275,85,1628,7687,62474,8.86
NSW,108,Bradfield,41464,KAPTERIAN,Gisele,6,N,N,LP,Liberal,45133,1490,75,1551,7941,56190,-3.4
NSW,108,Bradfield,36047,BOELE,Nicolette,7,N,N,IND,Independent,46878,1417,78,1663,6144,56180,3.4
NSW,109,Calare,36348,GEE,Andrew,7,N,Y,IND,Independent,53363,1239,47,1759,3921,60329,56.77
NSW,109,Calare,42037,FARRAWAY,Sam,10,N,N,NP,The Nationals,41177,738,33,1129,2862,45939,43.23
NSW,111,Chifley,41323,HUSIC,Ed,4,N,Y,ALP,Labor,52526,2327,40,1461,6013,62367,6.1
NSW,111,Chifley,41599,GREEN,Allan,5,N,N,LP,Liberal,21924,1203,18,754,3148,27047,-6.1
