2025 Federal Election Senate First Preferences By Group By Vote Type By State [Please Note: These results are not final. Event:31496 Phase:PostElection Generated:2025-05-27T12:41:10 Cycle:841232e3-b741-4f51-86df-f51ca364568b Created:2025-05-27T12:40:02 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.11.386.0]
StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
NSW,ALP,Labor,1574592,37.77,51660,35.25,2330,37.25,54441,37.01,189896,37.38,1872919,37.64
NSW,LPNP,Liberal & Nationals,1216052,29.17,32413,22.12,1395,22.30,39225,26.66,175740,34.59,1464825,29.44
NSW,GRN,The Greens,469554,11.26,22248,15.18,969,15.49,20446,13.90,43548,8.57,556765,11.19
NSW,HMP,Legalise Cannabis Party,148310,3.56,9208,6.28,294,4.70,5328,3.62,10613,2.09,173753,3.49
NSW,CYA,Trumpet of Patriots,101138,2.43,4451,3.04,161,2.57,3598,2.45,9970,1.96,119318,2.40
NSW,AJP,Animal Justice Party,48519,1.16,2217,1.51,96,1.53,1827,1.24,7322,1.44,59981,1.21
NSW,AV,Australia's Voice,30814,0.74,1627,1.11,64,1.02,1209,0.82,2878,0.57,36592,0.74
NSW,AUC,Australian Christians,49038,1.18,2354,1.61,102,1.63,1754,1.19,5757,1.13,59005,1.19
NSW,CEC,Citizens Party,8969,0.22,352,0.24,12,0.19,323,0.22,979,0.19,10635,0.21
NSW,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,13513,0.32,647,0.44,30,0.48,585,0.40,1721,0.34,16496,0.33
NSW,FFPA,Family First,68934,1.65,3058,2.09,126,2.01,2274,1.55,5785,1.14,80177,1.61
NSW,IAP,Indigenous - Aboriginal Party of Australia,27194,0.65,1685,1.15,64,1.02,1198,0.81,2113,0.42,32254,0.65
NSW,JLN,Jacqui Lambie Network,41887,1.00,907,0.62,60,0.96,1523,1.04,8411,1.66,52788,1.06
NSW,PFHL,Libertarian / HEART / Gerard Rennick People First,78660,1.89,3022,2.06,133,2.13,2762,1.88,8087,1.59,92664,1.86
NSW,ON,Pauline Hanson's One Nation,253500,6.08,8966,6.12,343,5.48,8947,6.08,30197,5.94,301953,6.07
NSW,SAL,Socialist Alliance,10463,0.25,490,0.33,19,0.30,518,0.35,1139,0.22,12629,0.25
NSW,SPP,Sustainable Australia Party - Universal Basic Income,13232,0.32,616,0.42,22,0.35,564,0.38,1773,0.35,16207,0.33
NSW,UNAM,Unendorsed/Ungrouped Amalgamated,14146,0.34,617,0.42,35,0.56,588,0.40,2102,0.41,17488,0.35
VIC,ALP,Australian Labor Party,1083047,34.87,46228,31.49,1870,34.96,47774,32.28,243445,35.00,1422364,34.68
VIC,LPNP,Liberal/The Nationals,961202,30.95,35753,24.35,1270,23.74,43541,29.42,246590,35.45,1288356,31.41
VIC,GRN,The Greens,396246,12.76,25844,17.60,852,15.93,22920,15.49,64973,9.34,510835,12.45
VIC,AV,Australia's Voice,31383,1.01,1874,1.28,81,1.51,1140,0.77,5341,0.77,39819,0.97
VIC,HMP,Legalise Cannabis Party,114483,3.69,8791,5.99,261,4.88,5801,3.92,19403,2.79,148739,3.63
VIC,LTP,Libertarian,18753,0.60,991,0.68,47,0.88,981,0.66,2845,0.41,23617,0.58
VIC,CYA,Trumpet of Patriots,76888,2.48,4443,3.03,122,2.28,3969,2.68,18130,2.61,103552,2.52
VIC,AJP,Animal Justice Party,45857,1.48,2754,1.88,97,1.81,2287,1.55,13560,1.95,64555,1.57
VIC,AUD,Australian Democrats,12826,0.41,531,0.36,23,0.43,599,0.40,3037,0.44,17016,0.41
VIC,CEC,Citizens Party,7746,0.25,307,0.21,22,0.41,334,0.23,1401,0.20,9810,0.24
VIC,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,7690,0.25,559,0.38,21,0.39,447,0.30,1987,0.29,10704,0.26
VIC,FFPA,Family First,57515,1.85,2864,1.95,122,2.28,2404,1.62,11704,1.68,74609,1.82
VIC,GRHE,Gerard Rennick People First - Heart,33282,1.07,1755,1.20,61,1.14,1820,1.23,7162,1.03,44080,1.07
VIC,IAP,Indigenous - Aboriginal Party of Australia,20293,0.65,1399,0.95,50,0.93,1198,0.81,3573,0.51,26513,0.65
VIC,ON,Pauline Hanson's One Nation,135731,4.37,6225,4.24,212,3.96,6994,4.73,33066,4.75,182228,4.44
VIC,ASP,"Shooters, Fishers and Farmers Party",37505,1.21,2237,1.52,62,1.16,2528,1.71,8650,1.24,50982,1.24
