2025 Federal Election Senate First Preferences By State By Vote Type  [Please Note: These results are not final. Event:31496 Phase:PostElection Generated:2025-05-26T21:46:29 Cycle:643666ce-5653-45dc-8df3-aca02937ad20 Created:2025-05-26T21:45:20 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.11.386.0]
StateAb,Group,CandidateID,BallotPosition,CandidateDetails,PartyName,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,A,42128,0,A Above-the-line Votes,Sustainable Australia Party - Universal Basic Income,2344,84,29,159,268,2884
ACT,A,41426,1,"HOLGATE, James",Sustainable Australia Party - Universal Basic Income,550,14,6,26,45,641
ACT,A,41430,2,"HAYDON, John",Sustainable Australia Party - Universal Basic Income,97,3,0,8,11,119
ACT,A,0,9998,Unapportioned,Sustainable Australia Party - Universal Basic Income,0,0,0,0,0,0
ACT,B,42123,0,B Above-the-line Votes,David Pocock,76955,1613,463,3340,6128,88499
ACT,B,40648,1,"POCOCK, David",David Pocock,22999,404,117,1024,1418,25962
ACT,B,40649,2,"VARDY, Hannah",David Pocock,386,13,3,20,31,453
ACT,B,0,9998,Unapportioned,David Pocock,0,0,0,0,0,0
ACT,C,42126,0,C Above-the-line Votes,Animal Justice Party,2302,83,19,117,321,2842
ACT,C,41292,1,"SOXSMITH, Robyn",Animal Justice Party,382,4,2,10,32,430
ACT,C,41294,2,"KUDRYCZ, Walter",Animal Justice Party,74,0,1,4,12,91
ACT,C,0,9998,Unapportioned,Animal Justice Party,0,0,0,0,0,0
ACT,D,42124,0,D Above-the-line Votes,Australian Labor Party,69673,1380,420,3471,5882,80826
ACT,D,40664,1,"GALLAGHER, Katy",Australian Labor Party,10184,165,49,559,815,11772
ACT,D,40665,2,"OH, Janaline",Australian Labor Party,450,11,6,24,44,535
ACT,D,0,9998,Unapportioned,Australian Labor Party,0,0,0,0,0,0
ACT,E,42125,0,E Above-the-line Votes,Liberal,39652,774,220,2121,4471,47238
ACT,E,41094,1,"VADAKKEDATHU, Jacob",Liberal,3164,67,12,140,283,3666
ACT,E,41096,2,"LEE, Hayune",Liberal,1044,19,4,57,107,1231
ACT,E,0,9998,Unapportioned,Liberal,0,0,0,0,0,0
ACT,F,42129,0,F Above-the-line Votes,HEART/LIBERTARIAN,2155,57,15,129,203,2559
ACT,F,41938,1,"SEARSON-PRAKAASH, Elise",HEART Party,388,13,1,22,39,463
ACT,F,41942,2,"BROWN, Martin",Libertarian,358,14,3,12,35,422
ACT,F,0,9998,Unapportioned,HEART/LIBERTARIAN,0,0,0,0,0,0
ACT,G,42127,0,G Above-the-line Votes,Australian Greens,16310,518,153,1096,1239,19316
ACT,G,41391,1,"HOBBS, Christina",Australian Greens,2715,91,23,155,180,3164
ACT,G,41409,2,"ROCKE, Jo",Australian Greens,306,13,3,14,22,358
ACT,G,0,9998,Unapportioned,Australian Greens,0,0,0,0,0,0
NSW,A,42144,0,A Above-the-line Votes,Labor,1365300,49163,2218,52148,181160,1649989
NSW,A,41774,1,"SHELDON, Tony",Labor,35551,1803,83,1611,6709,45757
NSW,A,41783,2,"AYRES, Tim",Labor,2904,164,8,176,403,3655
NSW,A,41808,3,"BELJIC, Emilija",Labor,2915,175,5,184,537,3816
NSW,A,41867,4,"MCGREGOR, Victoria",Labor,2405,133,6,113,394,3051
NSW,A,41849,5,"SEWELL, Sharon",Labor,1706,95,5,93,253,2152
NSW,A,41859,6,"ROARTY, Heather",Labor,2214,123,5,104,438,2884
NSW,A,0,9998,Unapportioned,Labor,160858,0,0,0,0,160858
NSW,B,42131,0,B Above-the-line Votes,,7996,425,24,328,1000,9773
NSW,B,40822,1,"BODDY, Max",,711,44,4,34,79,872
NSW,B,40816,2,"DOVE, Warwick",,202,11,0,12,34,259
NSW,B,0,9998,Unapportioned,,879,0,0,0,0,879
NSW,C,42147,0,C Above-the-line Votes,Australia's Voice,26155,1465,60,1127,2665,31472
NSW,C,42093,1,"DARWICHE, Emanie Samira",Australia's Voice,1498,147,4,68,184,1901
NSW,C,42095,2,"GEORGE, Graham",Australia's Voice,241,15,0,12,29,297
